stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
electron paramagnet reson	electron paramagnetic resonance	electron paramagnetic resonance|&|Electron paramagnetic resonance|&|Electron Paramagnetic Resonance	3	127,085555705	401,781879176	2934,82709076	75,0	3081,0	 
deposit	deposition	deposition|&|deposit|&|deposits|&|Deposition	1	52,6213629093	226,270031299	173,568932003	51,0	3089,0	 
awar	awareness	awareness	1	41,6999479659	182,476935057	169,648365348	70,0	4005,0	 
estim impact	estimate this impact	estimate this impact|&|estimate the impact|&|estimation of impact|&|impact estimation	3	6,29455750551	38,8165356986	186,301887895	4,0	235,0	 
process system	process systems	process systems|&|processing system	2	11,0154756347	63,4625464536	188,277722347	6,0	231,0	 
data weather	weather data	weather data|&|data weather	2	9,44183625827	58,224803548	166,01303286	4,0	206,0	 
challeng major	major challenges	major challenges|&|major challenge	2	17,3100331402	89,2346278655	258,714102206	11,0	666,0	 
manag purpos	management purposes	management purposes|&|purpose management|&|purpose of management	2	6,29455750551	38,8165356986	156,39748287	4,0	269,0	 
energi household	household energy	household energy	2	6,29455750551	38,8165356986	236,666212515	6,0	278,0	 
sfc	SFC	SFC	1	4,96427951974	39,7814391237	184,925722387	1,0	62,0	 
batteri electr vehicl	battery electric vehicles	battery electric vehicles	3	7,94284723159	47,1336161053	248,092216434	4,0	262,0	 
sfa	sfa	sfa|&|SFA	1	26,8071094066	129,625334538	1446,73202448	24,0	635,0	 
ch4 flux	CH4 fluxes	CH4 fluxes|&|CH4 flux|&|fluxes of CH4	2	15,7363937638	88,2350048512	238,005019543	7,0	535,0	 
chang technolog	technological change	technological change|&|Technological change	2	23,6045906457	119,629715518	230,285550929	12,0	582,0	 
approach lca	LCA approach	LCA approach	2	7,86819688189	48,5206696233	158,850781991	4,0	310,0	 
capita	capita	capita	1	34,7499566382	165,251360446	423,190595233	41,0	2500,0	 
amount high	high amounts	high amounts|&|high amount	2	7,86819688189	46,7649322286	181,871189251	5,0	329,0	 
framework sustain	sustainability framework	sustainability framework|&|framework for sustainability|&|sustainability This framework	2	6,29455750551	40,627367047	242,735427771	3,0	148,0	 
affair	affairs	affairs|&|affair	1	4,96427951974	32,8994864184	168,966107138	4,0	230,0	 
time-depend	time-dependent	time-dependent|&|Time-dependent	1	4,96427951974	32,8994864184	363,908265374	6,0	217,0	 
text	texts	texts|&|text	1	11,9142708474	76,300174696	154,237499665	7,0	353,0	 
ie tool	IE tools	IE tools	2	6,29455750551	43,1795904865	199,383068154	2,0	152,0	 
clean develop mechan	Clean Development Mechanism	Clean Development Mechanism|&|clean development mechanism	3	27,7999653106	132,201088357	171,164485376	13,0	664,0	 
absorpt spectroscopi	absorption spectroscopy	absorption spectroscopy	2	7,86819688189	46,7649322286	320,921363779	9,0	432,0	 
economist	economists	economists	1	6,94999132764	43,2413020008	154,89254312	6,0	272,0	 
staff	staff	staff	1	13,8999826553	76,8478702142	221,81078662	12,0	639,0	 
ngo	NGOs	NGOs|&|NGO	1	11,9142708474	65,8696030408	177,15866499	12,0	840,0	 
redox state	redox state	redox state|&|redox states	2	9,44183625827	56,1179186744	202,865604815	5,0	242,0	 
environ urban	urban environments	urban environments|&|urban environment	2	12,589115011	68,9069618216	237,687939605	8,0	302,0	 
dispers	dispersion	dispersion|&|Dispersion	1	17,8714062711	91,5581728854	163,864560904	27,0	1378,0	 
manufactur	manufacturers	manufacturers|&|manufacture|&|manufacturer|&|Manufacture|&|Manufacturers	1	55,5999306211	233,901947856	353,126129031	50,0	2982,0	 
concept map	concept mapping	concept mapping	2	9,44183625827	64,7693857297	181,462773835	2,0	102,0	 
ter-butanol	ter-butanol	ter-butanol	1	4,96427951974	36,3404627711	163,287942755	2,0	73,0	 
issu research	research issues	research issues	2	9,44183625827	54,3964683888	221,463473369	6,0	335,0	 
decis support system	decision support system	decision support system	3	19,857118079	101,731303206	402,105003275	11,0	535,0	 
measur protect	protection measures	protection measures	2	6,29455750551	38,8165356986	170,691077295	4,0	237,0	 
contribut	contribution	contribution|&|contributions|&|Contribution|&|contribute|&|Contributions	1	145,94981788	462,566087188	174,859592984	160,0	9586,0	 
distribut network	distribution networks	distribution networks|&|distribution network	2	11,0154756347	63,4625464536	323,759395866	6,0	318,0	 
r&d	R&D	R&D	1	8,93570313554	51,9728438774	167,91708092	11,0	602,0	 
mgo	MgO	MgO	1	6,94999132764	48,0586688945	164,692907736	3,0	163,0	 
rush	rush	rush	1	4,96427951974	34,3276206389	155,395075355	5,0	313,0	 
passeng	passenger	passenger|&|passengers|&|Passenger	1	27,7999653106	139,494805808	356,466696695	47,0	2678,0	 
mediterranean region	Mediterranean region	Mediterranean region	2	6,29455750551	38,8165356986	195,036220922	4,0	201,0	 
center develop research	research and development centers	research and development centers	4	5,95713542369	39,4793837021	251,069891642	2,0	112,0	 
increas	increase	increase|&|increases|&|Increases	1	347,499566382	810,843220048	240,312990994	373,0	22962,0	 
categori environment impact	environmental impact categories	environmental impact categories|&|environmental impacts in all categories|&|environmental impact in all categories	3	19,857118079	106,721683483	165,859976941	7,0	633,0	 
data spatial	spatial data	spatial data	2	7,86819688189	50,7842088087	180,648515796	3,0	138,0	 
enabl	enablers	enablers|&|enabler|&|Enablers	1	9,92855903949	57,7476043083	168,348155724	15,0	860,0	 
organ	organizations	organizations|&|organization|&|organisms|&|Organic|&|Organization|&|Organizations|&|organics|&|organism|&|organs|&|Organics	1	157,864088728	517,374112043	233,954172357	159,0	8268,0	 
activ anthropogen	anthropogenic activities	anthropogenic activities	2	6,29455750551	38,8165356986	164,031675351	4,0	236,0	 
nitroxid	nitroxide	nitroxide	1	4,96427951974	31,7917394567	259,813536122	5,0	126,0	 
benzen	benzene	benzene	1	16,8785503671	91,9642661014	165,141919757	13,0	608,0	 
industri sustain	industrial sustainability	industrial sustainability|&|sustainability in industry|&|sustainability within the industry	2	7,86819688189	46,7649322286	266,851365731	5,0	277,0	 
integr	integration	integration|&|integrity|&|Integration|&|INTEGRATION|&|integrations	1	154,885521016	476,902334586	253,873754234	176,0	9460,0	 
domest wast	domestic wastes	domestic wastes|&|domestic waste	2	6,29455750551	40,627367047	157,742758541	3,0	135,0	 
dmi	DMI	DMI	1	17,8714062711	106,050636237	464,574575128	8,0	508,0	 
affluenc	affluence	affluence	1	6,94999132764	44,5084352394	210,781092658	8,0	498,0	 
sediment	sediment	sediment|&|sediments|&|sedimentation|&|Sediment	1	101,271302203	403,888750578	208,784376913	65,0	3203,0	 
qo	QoS	QoS	1	16,8785503671	98,170927324	304,412441189	9,0	487,0	 
develop process	development process	development process|&|process development|&|development processes|&|development by a process|&|development of processes|&|development of a process|&|developing processes	2	39,3409844095	173,788103899	250,363466364	28,0	1795,0	 
arsen	arsenic	arsenic	1	9,92855903949	63,5834789134	185,297383276	5,0	161,0	 
carbon sequestr	carbon sequestration	carbon sequestration	2	33,046426904	155,971310012	262,804563844	17,0	715,0	 
countri mani	many countries	many countries|&|Many countries	2	12,589115011	68,9069618216	156,825737712	9,0	534,0	 
knowledg	knowledge	knowledge|&|Knowledge	1	158,856944632	499,764401268	510,671988848	225,0	11282,0	 
dinuclear	dinuclear	dinuclear|&|DINUCLEAR	1	11,9142708474	70,7004241579	233,640326583	8,0	340,0	 
case exampl	case example	case example|&|example the case|&|example case	2	6,29455750551	38,8165356986	238,497051442	4,0	185,0	 
powder	powder	powder	1	6,94999132764	43,2413020008	154,808049773	13,0	690,0	 
great import	great importance	great importance	2	15,7363937638	82,6222274877	212,885891308	10,0	680,0	 
equip	equipment	equipment|&|Equipment|&|equipments	1	63,5427778527	254,565338412	329,206367976	119,0	5837,0	 
particl	particles	particles|&|particle|&|Particle	1	64,5356337567	267,328297969	257,109372514	70,0	3524,0	 
geochemistri	geochemistry	geochemistry	1	4,96427951974	31,7917394567	184,784290765	5,0	157,0	 
biofuel	biofuels	biofuels|&|biofuel|&|Biofuels	1	46,6642274856	209,390638046	175,581643035	38,0	1577,0	 
plant treatment wastewat	wastewater treatment plant	wastewater treatment plant|&|wastewater treatment plants	3	25,8142535027	124,824396221	428,363223676	14,0	895,0	 
pattern	patterns	patterns|&|pattern|&|Patterns|&|Pattern|&|PATTERNS	1	142,971250169	471,095764214	199,447864684	165,0	9464,0	 
no2	NO2	NO2	1	12,9071267513	75,0718856007	197,796251038	9,0	518,0	 
busi process	business process	business process|&|business processes|&|Business Process	2	22,0309512693	108,258315034	323,564572	17,0	620,0	 
progress	progress	progress|&|progression|&|Progress	1	68,5070573725	264,07101791	226,060971495	84,0	4861,0	 
ga natur	natural gas	natural gas|&|Natural gas	2	77,1083294426	306,07824574	561,15530631	36,0	2223,0	 
jahn-tel	Jahn-Teller	Jahn-Teller|&|JAHN-TELLER	1	5,95713542369	38,150087348	309,740651448	8,0	372,0	 
exaf	EXAFS	EXAFS	1	7,94284723159	50,8667831307	292,705679931	5,0	284,0	 
job	job	job|&|jobs	1	19,857118079	102,866304579	174,134790854	17,0	1023,0	 
carbon dioxid emiss global	global carbon dioxide emissions	global carbon dioxide emissions	4	5,95713542369	39,4793837021	181,703261514	2,0	106,0	 
basi mass	mass basis	mass basis	2	7,86819688189	50,7842088087	183,89293566	3,0	189,0	 
ga natur steam	natural gas steam	natural gas steam	3	5,95713542369	37,0639731435	203,82181611	3,0	237,0	 
health public	public health	public health	2	15,7363937638	82,6222274877	260,016478432	11,0	503,0	 
industri leather	leather industry	leather industry	2	7,86819688189	50,7842088087	198,955460858	3,0	106,0	 
role signific	significant role	significant role|&|significant roles	2	22,0309512693	108,258315034	180,2273059	14,0	912,0	 
popul world	world population	world population	2	9,44183625827	54,3964683888	310,639401311	6,0	290,0	 
aquat organ	aquatic organisms	aquatic organisms	2	7,86819688189	48,5206696233	222,754143779	4,0	197,0	 
sustain term	terms of sustainability	terms of sustainability|&|term sustainable|&|sustainability in terms	3	6,29455750551	38,8165356986	232,028549517	6,0	331,0	 
energi infrastructur	energy infrastructure	energy infrastructure|&|Energy Infrastructure|&|energy and infrastructure	2	6,29455750551	38,8165356986	197,579705027	4,0	235,0	 
copper in-us stock	in-use copper stock	in-use copper stock|&|in-use stock of copper	3	7,94284723159	49,418630858	210,827647431	3,0	193,0	 
privat sector	private sector	private sector	2	7,86819688189	46,7649322286	213,175376565	5,0	265,0	 
placebo	placebo	placebo	1	4,96427951974	34,3276206389	230,245457246	3,0	118,0	 
manag qualiti	quality management	quality management|&|management quality|&|Quality Management|&|management of quality	2	9,44183625827	56,1179186744	158,856326301	8,0	537,0	 
membran protein	membrane proteins	membrane proteins	2	6,29455750551	40,627367047	223,483527861	3,0	122,0	 
composit pcm	composite PCMs	composite PCMs	2	11,0154756347	75,5642833513	161,863142214	2,0	117,0	 
co	CO	CO|&|Co|&|co	1	162,828368248	548,592611645	290,318376877	117,0	7209,0	 
cm	cm	cm	1	33,7571007343	156,843641506	253,568779665	29,0	1663,0	 
provinc sichuan	Sichuan Province	Sichuan Province	2	6,29455750551	38,8165356986	215,714317212	4,0	182,0	 
carbonyl	carbonyl	carbonyl	1	8,93570313554	54,2185150022	288,008037743	10,0	416,0	 
resourc scarciti	resource scarcity	resource scarcity	2	11,0154756347	65,4709051201	196,729203933	5,0	204,0	 
ce	Ce	Ce	1	5,95713542369	37,0639731435	171,123186753	6,0	325,0	 
materi throughput	material throughput	material throughput	2	6,29455750551	38,8165356986	188,113413799	4,0	247,0	 
cr	Cr	Cr|&|CR	1	61,5570660448	290,4077975	203,775315402	28,0	1485,0	 
analysi cycl energi life	life cycle energy analysis	life cycle energy analysis	4	5,95713542369	37,0639731435	227,788917696	3,0	104,0	 
cp	CP	CP	1	18,864262175	130,444958428	161,774856322	3,0	234,0	 
chromium	chromium	chromium|&|Chromium	1	27,7999653106	133,291422822	154,904705871	27,0	1251,0	 
cu	Cu	Cu|&|CU	1	60,5642101409	260,423998288	350,061939803	46,0	2640,0	 
citizenship	citizenship	citizenship	1	8,93570313554	55,5959597153	192,696528198	6,0	209,0	 
approach plan	planning approach	planning approach	2	6,29455750551	40,627367047	160,039600119	3,0	204,0	 
framework polici	policy framework	policy framework|&|Policy Framework|&|policy frameworks	2	17,3100331402	92,7082442542	224,567294266	11,0	568,0	 
aim work	aim of this work	aim of this work|&|aim of the work	4	9,44183625827	54,3964683888	177,301064886	6,0	363,0	 
conflict intragroup	intragroup conflict	intragroup conflict	2	7,86819688189	50,7842088087	198,535579094	3,0	86,0	 
applic use	application and use	application and use|&|use and application	3	6,29455750551	38,8165356986	229,411192716	4,0	213,0	 
teamwork	teamwork	teamwork	1	6,94999132764	43,2413020008	233,545185482	6,0	237,0	 
electr	electricity	electricity|&|Electric|&|Electricity	1	91,3427431633	332,861126922	798,221396728	182,0	10793,0	 
minimis wast	waste minimisation	waste minimisation|&|minimisation of waste	2	6,29455750551	40,627367047	212,014047044	5,0	144,0	 
infrastructur	infrastructure	infrastructure|&|infrastructures|&|Infrastructure	1	138,006970649	459,757260802	227,325454227	156,0	8328,0	 
nickel	nickel	nickel|&|Nickel	1	37,7285243501	187,473598414	160,182033441	21,0	1088,0	 
adob	adobe	adobe|&|Adobe	1	6,94999132764	48,0586688945	164,003112086	3,0	109,0	 
presenc	presence	presence	1	64,5356337567	254,012245499	221,296900167	61,0	3218,0	 
patient-doctor relationship	patient-doctor relationship	patient-doctor relationship	2	6,29455750551	43,1795904865	262,903475612	2,0	89,0	 
planner	planners	planners	1	16,8785503671	90,7134309608	204,726672895	18,0	1124,0	 
pollut prevent	pollution prevention	pollution prevention	2	29,8991481512	141,116899535	328,673116388	23,0	1080,0	 
chang environment global	global environmental change	global environmental change	3	5,95713542369	37,0639731435	172,686805295	3,0	171,0	 
measur polici	policy measures	policy measures|&|policies and measures	2	20,4573118929	103,679086782	225,406590244	12,0	713,0	 
analysi perform	performance analysis	performance analysis	2	6,29455750551	38,8165356986	178,360931361	4,0	242,0	 
model system	systems model	systems model|&|system model|&|model systems	2	15,7363937638	84,2802220493	164,043681862	9,0	557,0	 
focal point	focal point	focal point	2	6,29455750551	38,8165356986	208,992685751	4,0	178,0	 
consumpt exergi	exergy consumption	exergy consumption|&|consumption of exergy	2	12,589115011	74,8238915658	163,084171439	5,0	268,0	 
construct sustain	sustainable construction	sustainable construction	2	6,29455750551	40,627367047	182,226153343	3,0	155,0	 
demolit	demolition	demolition	1	6,94999132764	42,1699561128	385,52348262	18,0	833,0	 
imin propylen	propylene imine	propylene imine	2	6,29455750551	40,627367047	189,373200911	3,0	133,0	 
project research	research project	research project|&|research projects	2	23,6045906457	115,991051823	340,404566893	16,0	873,0	 
energi transport	transport energy	transport energy|&|energy for transport	2	6,29455750551	40,627367047	169,369309627	3,0	161,0	 
toluen	toluene	toluene	1	13,8999826553	82,4838281843	198,406114705	8,0	375,0	 
commun develop	community development	community development	2	14,1627543874	81,5947025831	228,582208905	6,0	210,0	 
